<<<<<<< HEAD
ACCIAIUOL,MEDICI
ALBIZZI,GINORI
ALBIZZI,GUADAGNI
ALBIZZI,MEDICI
BARBADORI,CASTELLAN
BARBADORI,MEDICI
BISCHERI,GUADAGNI
BISCHERI,PERUZZI
BISCHERI,STROZZI
CASTELLAN,PERUZZI
CASTELLAN,STROZZI
GUADAGNI,LAMBERTES
GUADAGNI,TORNABUON
MEDICI,RIDOLFI
MEDICI,SALVIATI
MEDICI,TORNABUON
PAZZI,SALVIATI
PERUZZI,STROZZI
RIDOLFI,STROZZI
RIDOLFI,TORNABUON
=======
ACCIAIUOL,MEDICI
ALBIZZI,GINORI
ALBIZZI,GUADAGNI
ALBIZZI,MEDICI
BARBADORI,CASTELLAN
BARBADORI,MEDICI
BISCHERI,GUADAGNI
BISCHERI,PERUZZI
BISCHERI,STROZZI
CASTELLAN,PERUZZI
CASTELLAN,STROZZI
GUADAGNI,LAMBERTES
GUADAGNI,TORNABUON
MEDICI,RIDOLFI
MEDICI,SALVIATI
MEDICI,TORNABUON
PAZZI,SALVIATI
PERUZZI,STROZZI
RIDOLFI,STROZZI
RIDOLFI,TORNABUON
>>>>>>> 2e4b7fa0759f93e6e0ae351114ce0025450ff5b1
PUCCI,PUCCI
